"Weight" "Waist" "Pulse" "Tractions" "Push-ups" "Jumps"
"1" 191 36 50 5 162 60
"2" 189 37 52 2 110 60
"3" 193 38 58 12 101 101
"4" 162 35 62 12 105 37
"5" 189 35 46 13 155 58
"6" 182 36 56 4 101 42
"7" 211 38 56 8 101 38
"8" 167 34 60 6 125 40
"9" 176 31 74 15 200 40
"10" 154 33 56 17 251 250
"11" 169 34 50 17 120 38
"12" 166 33 52 13 210 115
"13" 154 34 64 14 215 105
"14" 247 46 50 1 50 50
"15" 193 36 46 6 70 31
"16" 202 37 62 12 210 120
"17" 176 37 54 4 60 25
"18" 157 32 52 11 230 80
"19" 156 33 54 15 225 73
"20" 138 33 68 2 110 43
